#time,left.insoleId,left.ang.x,left.ang.y,left.ang.z,left.acc.x,left.acc.y,left.acc.z,left.forces.0,left.forces.1,left.forces.2,left.forces.3,left.forces.4,left.forces.5,left.forces.6,left.forces.7,left.forces.8,left.forces.12,left.forces.13,left.forces.14,left.forces.17,left.forces.18,left.forces.21,left.forces.22,left.totalForce,left.rawForces.0,left.rawForces.1,left.rawForces.2,left.rawForces.3,left.rawForces.4,left.rawForces.5,left.rawForces.6,left.rawForces.7,left.rawForces.8,left.rawForces.12,left.rawForces.13,left.rawForces.14,left.rawForces.17,left.rawForces.18,left.rawForces.21,left.rawForces.22,left.totalRawForce,right.insoleId,right.ang.x,right.ang.y,right.ang.z,right.acc.x,right.acc.y,right.acc.z,right.forces.0,right.forces.1,right.forces.2,right.forces.3,right.forces.4,right.forces.5,right.forces.6,right.forces.7,right.forces.8,right.forces.12,right.forces.13,right.forces.14,right.forces.17,right.forces.18,right.forces.21,right.forces.22,right.totalForce,right.rawForces.0,right.rawForces.1,right.rawForces.2,right.rawForces.3,right.rawForces.4,right.rawForces.5,right.rawForces.6,right.rawForces.7,right.rawForces.8,right.rawForces.12,right.rawForces.13,right.rawForces.14,right.rawForces.17,right.rawForces.18,right.rawForces.21,right.rawForces.22,right.totalRawForce
0.029,L106,0.0,0.0,0.0,22.4,3.0,1018.0,0.59960914,1.4228159,2.639315,5.0355997,8.084956,9.369655,6.2260475,4.98197,1.2363557,5.15518,4.58466,2.3668404,25.387054,13.916418,13.50822,10.921859,115.436554,7.0,11.0,2.0,59.0,101.0,65.0,81.0,85.0,17.0,68.0,55.0,31.0,158.0,164.0,143.0,149.0,1196.0,R106,0.0,0.0,0.0,-20.0,25.5,1021.0,4.342384,4.053212,16.439898,9.546821,3.8341832,8.684,6.4434175,4.920232,4.03032,10.4019,8.915072,7.9039965,32.329178,18.01643,18.25478,18.64031,176.75612,54.0,85.0,74.0,116.0,51.0,75.0,66.0,91.0,79.0,156.0,129.0,124.0,255.0,226.0,230.0,261.0,2072.0
0.067,L106,0.0,0.0,0.0,21.4,4.0,1018.0,0.5327565,1.4010928,2.639315,4.7143884,7.8983483,9.467701,6.038845,4.7856073,1.3475108,4.9451647,4.4294615,2.3668404,25.953148,14.5526705,14.433276,11.696386,117.20251,6.0,9.0,2.0,55.0,99.0,66.0,78.0,81.0,19.0,65.0,53.0,31.0,161.0,170.0,151.0,158.0,1204.0,R106,0.0,0.0,0.0,-18.0,24.5,1019.0,3.9998336,4.053212,16.439898,9.942344,3.408886,8.163887,6.51517,4.920232,3.8177493,9.806448,8.54639,6.912868,30.958359,16.572126,17.686712,18.431156,170.17525,48.0,85.0,74.0,122.0,45.0,70.0,67.0,91.0,75.0,148.0,124.0,109.0,247.0,214.0,225.0,259.0,2003.0
0.122,L106,0.0,0.0,0.0,20.4,4.0,1019.0,0.93683517,1.3928107,2.3748534,4.3932986,7.991499,9.075017,5.6101804,3.9165614,1.1816128,5.2960753,4.739201,2.6772976,28.22093,14.126131,14.199075,13.676673,119.80805,12.0,8.0,1.0,51.0,100.0,62.0,71.0,63.0,16.0,70.0,57.0,37.0,173.0,166.0,149.0,180.0,1216.0,R106,0.0,0.0,0.0,-19.0,25.5,1021.0,3.935926,4.053212,15.817815,9.161126,3.3379114,8.684,6.020869,4.2372613,3.7651117,10.028016,8.619705,6.975687,30.272303,16.572126,17.912832,17.609264,167.00316,47.0,85.0,69.0,110.0,44.0,75.0,60.0,81.0,74.0,151.0,125.0,110.0,243.0,214.0,227.0,251.0,1966.0
0.240,L106,0.0,0.0,0.0,20.4,5.0,1018.0,1.0047917,1.4010928,2.639315,4.313142,8.084956,9.369655,5.1902122,4.542365,1.0738378,5.225538,4.5071473,2.5217285,28.410166,15.098936,14.199075,13.398643,120.980606,13.0,9.0,2.0,50.0,101.0,65.0,64.0,76.0,14.0,69.0,54.0,34.0,174.0,175.0,149.0,177.0,1226.0,R106,0.0,0.0,0.0,-21.0,24.5,1021.0,3.6591568,3.9710166,15.945486,8.534443,3.124446,7.854903,6.3011627,3.9797456,3.401737,9.153207,8.619705,7.1666827,29.757385,16.453169,17.127491,17.71075,162.7605,43.0,83.0,70.0,100.0,41.0,67.0,64.0,77.0,67.0,139.0,125.0,113.0,240.0,213.0,220.0,252.0,1914.0
0.330,L106,0.0,0.0,0.0,20.4,3.0,1016.0,0.7339428,1.4361948,2.639315,4.3932986,8.461782,8.680824,5.7316175,4.204671,1.1274375,5.225538,5.123119,2.9919412,26.708466,15.433522,14.669403,12.490665,120.05174,9.0,12.0,2.0,51.0,105.0,58.0,73.0,69.0,15.0,69.0,62.0,43.0,165.0,178.0,153.0,167.0,1231.0,R106,-4.0,0.0,0.0,-20.0,22.5,1024.0,3.8699508,4.053212,16.071497,8.225878,3.408886,8.893869,6.4434175,4.043272,3.6604078,9.659834,8.915072,7.1666827,29.929062,16.334452,17.127491,17.71075,165.51373,46.0,85.0,71.0,95.0,45.0,77.0,66.0,78.0,72.0,146.0,129.0,113.0,241.0,212.0,220.0,252.0,1948.0
0.345,L106,0.0,0.0,0.0,19.4,4.0,1018.0,0.8690342,1.4228159,2.3748534,4.6340737,8.461782,9.271527,5.6101804,4.834533,1.1274375,5.3667946,5.3521256,2.8864205,27.464388,15.546169,14.315933,13.676673,123.214745,11.0,11.0,1.0,54.0,105.0,64.0,71.0,82.0,15.0,71.0,65.0,41.0,169.0,179.0,150.0,180.0,1269.0,R106,0.0,0.0,0.0,-20.0,25.5,1020.0,3.8018618,4.3049445,16.439898,8.287441,3.3379114,9.63676,6.587373,3.9797456,3.7651117,9.369128,9.365065,7.427716,30.958359,16.572126,16.795883,17.106987,167.7363,45.0,91.0,74.0,96.0,44.0,84.0,68.0,77.0,74.0,142.0,135.0,117.0,247.0,214.0,217.0,246.0,1971.0
0.383,L106,0.0,0.0,0.0,17.4,2.0,1018.0,0.8690342,1.4678346,3.4092658,3.9934123,8.084956,9.271527,5.7316175,5.4315586,1.1816128,5.5087843,5.123119,2.8864205,26.14192,14.878706,13.622124,11.958865,119.56076,11.0,14.0,5.0,46.0,101.0,64.0,73.0,94.0,16.0,73.0,62.0,41.0,162.0,173.0,144.0,161.0,1240.0,R106,0.0,0.0,0.0,-20.0,25.5,1022.0,3.935926,4.1780777,16.677794,8.472557,3.479803,9.52983,6.806917,4.303055,3.870584,9.51407,9.440945,7.5611663,31.129793,16.69132,16.576351,17.007538,169.17572,47.0,88.0,76.0,99.0,46.0,83.0,71.0,82.0,76.0,144.0,136.0,119.0,248.0,215.0,215.0,245.0,1990.0
0.397,L106,0.0,0.0,0.0,16.4,1.0,1018.0,0.80139965,1.4361948,2.8998287,4.313142,8.178718,9.369655,5.7316175,5.280328,0.9684,5.2960753,5.580385,2.8864205,25.198433,14.76945,13.394816,12.135101,118.23996,10.0,12.0,3.0,50.0,102.0,65.0,73.0,91.0,12.0,70.0,68.0,41.0,157.0,172.0,142.0,163.0,1231.0,R106,0.0,0.0,0.0,-21.0,24.5,1020.0,4.2356935,4.3476996,17.247433,8.9084425,3.408886,9.743959,7.1838465,4.640408,3.870584,9.880081,9.593509,7.7652397,32.329178,17.652676,16.795883,17.106987,174.71051,52.0,92.0,81.0,106.0,45.0,85.0,76.0,87.0,76.0,149.0,138.0,122.0,255.0,223.0,217.0,246.0,2050.0
0.502,L106,0.0,0.0,0.0,18.4,3.0,1017.0,0.93683517,1.451211,2.639315,4.313142,7.8983483,9.467701,5.915283,5.380981,1.0738378,5.225538,5.2758837,3.044984,24.632803,14.231881,12.397165,11.871124,115.75603,12.0,13.0,2.0,50.0,99.0,66.0,76.0,93.0,14.0,69.0,64.0,44.0,154.0,167.0,133.0,160.0,1216.0,R106,0.0,0.0,0.0,-20.0,22.5,1022.0,4.5791016,5.16248,18.584204,10.986293,3.6923985,11.72053,7.986108,5.6575117,4.746496,11.962485,11.862597,9.179819,33.185562,18.748598,18.02644,18.64031,194.72092,59.0,110.0,94.0,137.0,49.0,103.0,86.0,101.0,92.0,176.0,166.0,141.0,260.0,232.0,228.0,261.0,2295.0
0.541,L106,1.0,0.0,0.0,17.4,4.0,1019.0,0.4661301,1.4361948,3.156458,4.313142,6.1060457,8.18546,5.7316175,5.031354,0.76482123,4.2560835,4.351594,2.3152947,22.374056,13.402682,11.650602,10.248678,103.790215,5.0,12.0,4.0,50.0,79.0,53.0,73.0,86.0,8.0,55.0,52.0,30.0,142.0,159.0,126.0,141.0,1075.0,R106,0.0,0.0,0.0,-20.0,23.5,1021.0,4.6216373,5.114766,19.323877,11.059143,3.7632735,11.60835,8.326982,6.6108966,4.466122,11.881739,12.12266,10.553007,32.843006,19.363073,19.539799,17.609264,198.80759,60.0,109.0,102.0,138.0,50.0,102.0,90.0,113.0,87.0,175.0,169.0,157.0,258.0,237.0,241.0,251.0,2339.0
